dataset,algorithm,n_clusters,metric,linkage,runtime_sec,ari,purity,davies_bouldin,f_measure
pen-based,Agglomerative,2.0,euclidean,complete,5.346610994999992,0.06422042672398803,0.861990538573508,1.727767158361086,0.27853342487299587
pen-based,Agglomerative,2.0,euclidean,average,5.3552851870000495,0.06478281523771841,0.9021106259097526,1.5148243683668408,0.2887444679671893
pen-based,Agglomerative,2.0,euclidean,single,1.3048221889999922,-1.546883878111324e-06,0.9999090247452693,0.7646132469389235,0.18205691534613846
pen-based,Agglomerative,2.0,cosine,complete,5.341714678000017,0.04587922109373314,0.8296033478893741,1.9705552786129537,0.26538809058301105
pen-based,Agglomerative,2.0,cosine,average,5.3960003469999265,0.0705740343928398,0.9103893740902474,1.5277137910085214,0.2900969789824907
pen-based,Agglomerative,2.0,cosine,single,1.520010061999983,-1.546883878111324e-06,0.9999090247452693,0.7646132469389235,0.18205691534613846
pen-based,Agglomerative,3.0,euclidean,complete,5.219408161999922,0.1886404753075065,0.767467248908297,1.9632736935164636,0.35210078816335605
pen-based,Agglomerative,3.0,euclidean,average,5.34573194799998,0.06488897113956857,0.9020196506550219,1.3725155024875724,0.28877260133507976
pen-based,Agglomerative,3.0,euclidean,single,1.3097670879999441,1.407025265037946e-07,0.9998180494905385,0.7388804214284003,0.18205603411477397
pen-based,Agglomerative,3.0,cosine,complete,5.368229407999934,0.05690378138909858,0.8294213973799127,1.506808871253627,0.33556561337229734
pen-based,Agglomerative,3.0,cosine,average,5.35398868599998,0.07069082302514647,0.9102983988355168,1.379823497845102,0.2901254836534356
pen-based,Agglomerative,3.0,cosine,single,1.505986094999912,1.407025265037946e-07,0.9998180494905385,0.7388804214284003,0.18205603411477397
pen-based,Agglomerative,4.0,euclidean,complete,5.216023867999979,0.18981425657445733,0.7241630276564774,1.8415183083530395,0.38049111269929625
pen-based,Agglomerative,4.0,euclidean,average,5.414150163000045,0.06517636821654012,0.9019286754002911,1.2475084002990844,0.28969459235831113
pen-based,Agglomerative,4.0,euclidean,single,1.3002674419999494,-1.4140266163760097e-06,0.9997270742358079,0.7624072201385284,0.18205394854851847
pen-based,Agglomerative,4.0,cosine,complete,5.387530693000031,0.16608789558613082,0.7520924308588064,1.7454738560578902,0.39463640457283733
pen-based,Agglomerative,4.0,cosine,average,5.352915026000005,0.06934484319276069,0.9065684133915575,1.3438874014958655,0.29016286407857367
pen-based,Agglomerative,4.0,cosine,single,1.4861673939999491,1.7883423316108607e-06,0.9997270742358079,0.8623771363654009,0.18205513894462017
