dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
pen-based,KMeans_Standard,2,euclidean,0,12861.993508356207,0.012493417132645845,0.10065270532536273,0.8646288209606987,1.734037017147573,0.28597861036578653
pen-based,KMeans_Standard,2,euclidean,1,12811.883447493066,0.010807709069922566,0.08525644124129807,0.9249454148471615,1.591043921194934,0.2977099790099912
pen-based,KMeans_Standard,2,euclidean,2,13219.842606119104,0.009656208101660013,0.1298354176719214,0.8853711790393013,2.015712123912596,0.2959454715621942
pen-based,KMeans_Standard,2,euclidean,3,12811.878662650213,0.009948333026841283,0.08525644124129807,0.9249454148471615,1.591043921194934,0.2977099790099912
pen-based,KMeans_Standard,2,euclidean,4,12850.254244101314,0.010395957855507731,0.1385682840190751,0.908933770014556,1.8814367282428321,0.30539791305790637
pen-based,KMeans_Standard,2,euclidean,5,12850.180918992326,0.009468040894716978,0.13801632542354436,0.9082059679767104,1.8810643124381574,0.30518650484318227
pen-based,KMeans_Standard,2,euclidean,6,12861.681246390825,0.007859665900468826,0.1005225992475607,0.8644468704512372,1.7312653477633786,0.28594668762514236
pen-based,KMeans_Standard,2,euclidean,7,12850.144679626317,0.008505583042278886,0.1377050483973761,0.9078420669577875,1.8807006560736164,0.3050856260389679
pen-based,KMeans_Standard,2,euclidean,8,12861.910984511245,0.011130500119179487,0.10055614263920191,0.8644468704512372,1.7336297203829667,0.2859196820646463
pen-based,KMeans_Standard,2,euclidean,9,12811.943219985253,0.007792541990056634,0.08532573190218738,0.9250363901018923,1.5913423648169343,0.29774293078694564
pen-based,KMeans_Standard,2,manhattan,0,38493.21399332896,0.00959291704930365,0.08480570081084969,0.8491630276564774,1.7920481869661478,0.2816044021734263
pen-based,KMeans_Standard,2,manhattan,1,38484.10156957918,0.007286083186045289,0.08250241927748411,0.8531659388646288,1.775133088405623,0.2808846341463793
pen-based,KMeans_Standard,2,manhattan,2,38065.29283037509,0.013051708927378058,0.09730603895673223,0.8551673944687045,1.7588751375852427,0.28264214499190615
pen-based,KMeans_Standard,2,manhattan,3,38287.54702093361,0.014553582994267344,0.07643951146251693,0.9061135371179039,1.597019684446276,0.29008414975985586
pen-based,KMeans_Standard,2,manhattan,4,38468.3948753603,0.013715208042412996,0.11068654748251613,0.8666302765647744,1.868395758202865,0.29355269740791434
pen-based,KMeans_Standard,2,manhattan,5,38468.29228683829,0.011548541020601988,0.11085637764676087,0.8669032023289666,1.868579580963063,0.29363181205764943
pen-based,KMeans_Standard,2,manhattan,6,38088.55499602176,0.011574708158150315,0.0968226069584622,0.8518013100436681,1.771374690461766,0.2814167034735571
pen-based,KMeans_Standard,2,manhattan,7,38469.63699537958,0.01260833302512765,0.11012357451808358,0.8656295487627366,1.8678419383528728,0.2933004038614117
pen-based,KMeans_Standard,2,manhattan,8,38085.77555953267,0.011795041849836707,0.09665156821458178,0.8520742358078602,1.7713700111820327,0.28151068918381006
pen-based,KMeans_Standard,2,manhattan,9,38467.59269199047,0.007805750006809831,0.0807468024531768,0.8616266375545851,1.755389887027038,0.2799294217150904
pen-based,KMeans_Standard,3,euclidean,0,10225.42506664239,0.012411125004291534,0.2373802377174821,0.8284206695778749,1.5402740181515264,0.3838332616857873
